Raw file name,Experiment series ,Peptide source,Proteome,Quantification,Offline fractionation,Offline fraction
01747_F03_P018218_S00_I00_N22_R1,Tissue atlas,EB,Full proteome,MS1,hSAX,22
01747_G03_P018218_S00_I00_N23_R1,Tissue atlas,EB,Full proteome,MS1,hSAX,23
01747_H03_P018218_S00_I00_N24_R1,Tissue atlas,EB,Full proteome,MS1,hSAX,24
01762_A01_P018448_S00_I00_N01_R1,Tissue atlas,SCLF,Full proteome,MS1,hSAX,1
01762_B01_P018448_S00_I00_N02_R1,Tissue atlas,SCLF,Full proteome,MS1,hSAX,2
01762_C01_P018448_S00_I00_N03_R1,Tissue atlas,SCLF,Full proteome,MS1,hSAX,3
01762_D01_P018448_S00_I00_N04_R1,Tissue atlas,SCLF,Full proteome,MS1,hSAX,4
01762_E01_P018448_S00_I00_N05_R1,Tissue atlas,SCLF,Full proteome,MS1,hSAX,5
01762_F01_P018448_S00_I00_N06_R1,Tissue atlas,SCLF,Full proteome,MS1,hSAX,6
01762_G01_P018448_S00_I00_N07_R1,Tissue atlas,SCLF,Full proteome,MS1,hSAX,7
01762_H01_P018448_S00_I00_N08_R1,Tissue atlas,SCLF,Full proteome,MS1,hSAX,8
01762_A02_P018448_S00_I00_N09_R1,Tissue atlas,SCLF,Full proteome,MS1,hSAX,9
01762_B02_P018448_S00_I00_N10_R1,Tissue atlas,SCLF,Full proteome,MS1,hSAX,10
01762_C02_P018448_S00_I00_N11_R1,Tissue atlas,SCLF,Full proteome,MS1,hSAX,11
01762_D02_P018448_S00_I00_N12_R1,Tissue atlas,SCLF,Full proteome,MS1,hSAX,12
01762_E02_P018448_S00_I00_N13_R1,Tissue atlas,SCLF,Full proteome,MS1,hSAX,13
01762_F02_P018448_S00_I00_N14_R1,Tissue atlas,SCLF,Full proteome,MS1,hSAX,14
01762_G02_P018448_S00_I00_N15_R1,Tissue atlas,SCLF,Full proteome,MS1,hSAX,15
01762_H02_P018448_S00_I00_N16_R1,Tissue atlas,SCLF,Full proteome,MS1,hSAX,16
01762_A03_P018448_S00_I00_N17_R1,Tissue atlas,SCLF,Full proteome,MS1,hSAX,17
01762_B03_P018448_S00_I00_N18_R1,Tissue atlas,SCLF,Full proteome,MS1,hSAX,18
01762_C03_P018448_S00_I00_N19_R1,Tissue atlas,SCLF,Full proteome,MS1,hSAX,19
01762_D03_P018448_S00_I00_N20_R1,Tissue atlas,SCLF,Full proteome,MS1,hSAX,20
01762_E03_P018448_S00_I00_N21_R1,Tissue atlas,SCLF,Full proteome,MS1,hSAX,21
01762_F03_P018448_S00_I00_N22_R1,Tissue atlas,SCLF,Full proteome,MS1,hSAX,22
01762_G03_P018448_S00_I00_N23_R1,Tissue atlas,SCLF,Full proteome,MS1,hSAX,23
01762_H03_P018448_S00_I00_N24_R1,Tissue atlas,SCLF,Full proteome,MS1,hSAX,24
01762_A04_P018449_S00_I00_N01_R1,Tissue atlas,RTUZ,Full proteome,MS1,hSAX,1
01762_B04_P018449_S00_I00_N02_R1,Tissue atlas,RTUZ,Full proteome,MS1,hSAX,2
01762_C04_P018449_S00_I00_N03_R1,Tissue atlas,RTUZ,Full proteome,MS1,hSAX,3
01762_D04_P018449_S00_I00_N04_R1,Tissue atlas,RTUZ,Full proteome,MS1,hSAX,4
01762_E04_P018449_S00_I00_N05_R1,Tissue atlas,RTUZ,Full proteome,MS1,hSAX,5
01762_F04_P018449_S00_I00_N06_R1,Tissue atlas,RTUZ,Full proteome,MS1,hSAX,6
01762_G04_P018449_S00_I00_N07_R1,Tissue atlas,RTUZ,Full proteome,MS1,hSAX,7
01762_H04_P018449_S00_I00_N08_R1,Tissue atlas,RTUZ,Full proteome,MS1,hSAX,8
01762_A05_P018449_S00_I00_N09_R1,Tissue atlas,RTUZ,Full proteome,MS1,hSAX,9
01762_B05_P018449_S00_I00_N10_R1,Tissue atlas,RTUZ,Full proteome,MS1,hSAX,10
01762_C05_P018449_S00_I00_N11_R1,Tissue atlas,RTUZ,Full proteome,MS1,hSAX,11
01762_D05_P018449_S00_I00_N12_R1,Tissue atlas,RTUZ,Full proteome,MS1,hSAX,12
01762_E05_P018449_S00_I00_N13_R1,Tissue atlas,RTUZ,Full proteome,MS1,hSAX,13
01762_F05_P018449_S00_I00_N14_R1,Tissue atlas,RTUZ,Full proteome,MS1,hSAX,14
01762_G05_P018449_S00_I00_N15_R1,Tissue atlas,RTUZ,Full proteome,MS1,hSAX,15
01762_H05_P018449_S00_I00_N16_R1,Tissue atlas,RTUZ,Full proteome,MS1,hSAX,16
01762_A06_P018449_S00_I00_N17_R1,Tissue atlas,RTUZ,Full proteome,MS1,hSAX,17
01762_B06_P018449_S00_I00_N18_R1,Tissue atlas,RTUZ,Full proteome,MS1,hSAX,18
01762_C06_P018449_S00_I00_N19_R1,Tissue atlas,RTUZ,Full proteome,MS1,hSAX,19
01762_D06_P018449_S00_I00_N20_R1,Tissue atlas,RTUZ,Full proteome,MS1,hSAX,20
01762_E06_P018449_S00_I00_N21_R1,Tissue atlas,RTUZ,Full proteome,MS1,hSAX,21
01762_F06_P018449_S00_I00_N22_R1,Tissue atlas,RTUZ,Full proteome,MS1,hSAX,22
01762_G06_P018449_S00_I00_N23_R1,Tissue atlas,RTUZ,Full proteome,MS1,hSAX,23
01762_H06_P018449_S00_I00_N24_R1,Tissue atlas,RTUZ,Full proteome,MS1,hSAX,24
01774_A01_P018614_S00_I00_N01_R1,Tissue atlas,ND,Full proteome,MS1,hSAX,1
01774_B01_P018614_S00_I00_N02_R1,Tissue atlas,ND,Full proteome,MS1,hSAX,2
01774_C01_P018614_S00_I00_N03_R1,Tissue atlas,ND,Full proteome,MS1,hSAX,3
01774_D01_P018614_S00_I00_N04_R1,Tissue atlas,ND,Full proteome,MS1,hSAX,4
01774_E01_P018614_S00_I00_N05_R1,Tissue atlas,ND,Full proteome,MS1,hSAX,5
01774_F01_P018614_S00_I00_N06_R1,Tissue atlas,ND,Full proteome,MS1,hSAX,6
01774_G01_P018614_S00_I00_N07_R1,Tissue atlas,ND,Full proteome,MS1,hSAX,7
01774_H01_P018614_S00_I00_N08_R1,Tissue atlas,ND,Full proteome,MS1,hSAX,8
01774_A02_P018614_S00_I00_N09_R1,Tissue atlas,ND,Full proteome,MS1,hSAX,9
01774_B02_P018614_S00_I00_N10_R1,Tissue atlas,ND,Full proteome,MS1,hSAX,10
01774_C02_P018614_S00_I00_N11_R1,Tissue atlas,ND,Full proteome,MS1,hSAX,11
01774_D02_P018614_S00_I00_N12_R1,Tissue atlas,ND,Full proteome,MS1,hSAX,12
01774_E02_P018614_S00_I00_N13_R1,Tissue atlas,ND,Full proteome,MS1,hSAX,13
01774_F02_P018614_S00_I00_N14_R1,Tissue atlas,ND,Full proteome,MS1,hSAX,14
01774_G02_P018614_S00_I00_N15_R1,Tissue atlas,ND,Full proteome,MS1,hSAX,15
01774_H02_P018614_S00_I00_N16_R1,Tissue atlas,ND,Full proteome,MS1,hSAX,16
01774_A03_P018614_S00_I00_N17_R1,Tissue atlas,ND,Full proteome,MS1,hSAX,17
01774_B03_P018614_S00_I00_N18_R1,Tissue atlas,ND,Full proteome,MS1,hSAX,18
01774_C03_P018614_S00_I00_N19_R1,Tissue atlas,ND,Full proteome,MS1,hSAX,19
01774_D03_P018614_S00_I00_N20_R1,Tissue atlas,ND,Full proteome,MS1,hSAX,20
01774_E03_P018614_S00_I00_N21_R1,Tissue atlas,ND,Full proteome,MS1,hSAX,21
01774_F03_P018614_S00_I00_N22_R1,Tissue atlas,ND,Full proteome,MS1,hSAX,22
01774_G03_P018614_S00_I00_N23_R1,Tissue atlas,ND,Full proteome,MS1,hSAX,23
01774_H03_P018614_S00_I00_N24_R1,Tissue atlas,ND,Full proteome,MS1,hSAX,24
01774_A05_P018615_S00_I00_N01_R1,Tissue atlas,RT,Full proteome,MS1,hSAX,1
01774_B05_P018615_S00_I00_N02_R1,Tissue atlas,RT,Full proteome,MS1,hSAX,2
01774_C05_P018615_S00_I00_N03_R1,Tissue atlas,RT,Full proteome,MS1,hSAX,3
01774_D05_P018615_S00_I00_N04_R1,Tissue atlas,RT,Full proteome,MS1,hSAX,4
01774_E05_P018615_S00_I00_N05_R1,Tissue atlas,RT,Full proteome,MS1,hSAX,5
01774_F05_P018615_S00_I00_N06_R1,Tissue atlas,RT,Full proteome,MS1,hSAX,6
01774_G05_P018615_S00_I00_N07_R1,Tissue atlas,RT,Full proteome,MS1,hSAX,7
01774_H05_P018615_S00_I00_N08_R1,Tissue atlas,RT,Full proteome,MS1,hSAX,8
01774_A06_P018615_S00_I00_N09_R1,Tissue atlas,RT,Full proteome,MS1,hSAX,9
01774_B06_P018615_S00_I00_N10_R1,Tissue atlas,RT,Full proteome,MS1,hSAX,10
01774_C06_P018615_S00_I00_N11_R1,Tissue atlas,RT,Full proteome,MS1,hSAX,11
01774_D06_P018615_S00_I00_N12_R1,Tissue atlas,RT,Full proteome,MS1,hSAX,12
01774_E06_P018615_S00_I00_N13_R1,Tissue atlas,RT,Full proteome,MS1,hSAX,13
01774_F06_P018615_S00_I00_N14_R1,Tissue atlas,RT,Full proteome,MS1,hSAX,14
01774_G06_P018615_S00_I00_N15_R1,Tissue atlas,RT,Full proteome,MS1,hSAX,15
01774_H06_P018615_S00_I00_N16_R1,Tissue atlas,RT,Full proteome,MS1,hSAX,16
01774_A07_P018615_S00_I00_N17_R1,Tissue atlas,RT,Full proteome,MS1,hSAX,17
01774_B07_P018615_S00_I00_N18_R1,Tissue atlas,RT,Full proteome,MS1,hSAX,18
01774_C07_P018615_S00_I00_N19_R1,Tissue atlas,RT,Full proteome,MS1,hSAX,19
01774_D07_P018615_S00_I00_N20_R1,Tissue atlas,RT,Full proteome,MS1,hSAX,20
01774_E07_P018615_S00_I00_N21_R1,Tissue atlas,RT,Full proteome,MS1,hSAX,21
01774_F07_P018615_S00_I00_N22_R1,Tissue atlas,RT,Full proteome,MS1,hSAX,22
01774_G07_P018615_S00_I00_N23_R1,Tissue atlas,RT,Full proteome,MS1,hSAX,23
01774_H07_P018615_S00_I00_N24_R1,Tissue atlas,RT,Full proteome,MS1,hSAX,24
01774_A09_P018616_S00_I00_N01_R1,Tissue atlas,SD,Full proteome,MS1,hSAX,1
01774_B09_P018616_S00_I00_N02_R1,Tissue atlas,SD,Full proteome,MS1,hSAX,2
01774_C09_P018616_S00_I00_N03_R1,Tissue atlas,SD,Full proteome,MS1,hSAX,3
01774_D09_P018616_S00_I00_N04_R1,Tissue atlas,SD,Full proteome,MS1,hSAX,4
01774_E09_P018616_S00_I00_N05_R1,Tissue atlas,SD,Full proteome,MS1,hSAX,5
01774_F09_P018616_S00_I00_N06_R1,Tissue atlas,SD,Full proteome,MS1,hSAX,6
01774_G09_P018616_S00_I00_N07_R1,Tissue atlas,SD,Full proteome,MS1,hSAX,7
01774_H09_P018616_S00_I00_N08_R1,Tissue atlas,SD,Full proteome,MS1,hSAX,8
01774_A10_P018616_S00_I00_N09_R1,Tissue atlas,SD,Full proteome,MS1,hSAX,9
01774_B10_P018616_S00_I00_N10_R1,Tissue atlas,SD,Full proteome,MS1,hSAX,10
01774_C10_P018616_S00_I00_N11_R1,Tissue atlas,SD,Full proteome,MS1,hSAX,11
01774_D10_P018616_S00_I00_N12_R1,Tissue atlas,SD,Full proteome,MS1,hSAX,12
01774_E10_P018616_S00_I00_N13_R1,Tissue atlas,SD,Full proteome,MS1,hSAX,13
01774_F10_P018616_S00_I00_N14_R1,Tissue atlas,SD,Full proteome,MS1,hSAX,14
01774_G10_P018616_S00_I00_N15_R1,Tissue atlas,SD,Full proteome,MS1,hSAX,15
01774_H10_P018616_S00_I00_N16_R1,Tissue atlas,SD,Full proteome,MS1,hSAX,16
01774_A11_P018616_S00_I00_N17_R1,Tissue atlas,SD,Full proteome,MS1,hSAX,17
01774_B11_P018616_S00_I00_N18_R1,Tissue atlas,SD,Full proteome,MS1,hSAX,18
01774_C11_P018616_S00_I00_N19_R1,Tissue atlas,SD,Full proteome,MS1,hSAX,19
01774_D11_P018616_S00_I00_N20_R1,Tissue atlas,SD,Full proteome,MS1,hSAX,20
01774_E11_P018616_S00_I00_N21_R1,Tissue atlas,SD,Full proteome,MS1,hSAX,21
01774_F11_P018616_S00_I00_N22_R1,Tissue atlas,SD,Full proteome,MS1,hSAX,22
01774_G11_P018616_S00_I00_N23_R1,Tissue atlas,SD,Full proteome,MS1,hSAX,23
01774_H11_P018616_S00_I00_N24_R1_160621175404,Tissue atlas,SD,Full proteome,MS1,hSAX,24
01865_A01_P019517_S00_I00_N01_R1,Tissue atlas,LFD,Full proteome,MS1,hSAX,1
01865_B01_P019517_S00_I00_N02_R1,Tissue atlas,LFD,Full proteome,MS1,hSAX,2
01865_C01_P019517_S00_I00_N03_R1,Tissue atlas,LFD,Full proteome,MS1,hSAX,3
01865_D01_P019517_S00_I00_N04_R1,Tissue atlas,LFD,Full proteome,MS1,hSAX,4
01865_E01_P019517_S00_I00_N05_R1,Tissue atlas,LFD,Full proteome,MS1,hSAX,5
01865_F01_P019517_S00_I00_N06_R1,Tissue atlas,LFD,Full proteome,MS1,hSAX,6
01865_G01_P019517_S00_I00_N07_R1,Tissue atlas,LFD,Full proteome,MS1,hSAX,7
01865_H01_P019517_S00_I00_N08_R1,Tissue atlas,LFD,Full proteome,MS1,hSAX,8
01865_A02_P019517_S00_I00_N09_R1,Tissue atlas,LFD,Full proteome,MS1,hSAX,9
01865_B02_P019517_S00_I00_N10_R1,Tissue atlas,LFD,Full proteome,MS1,hSAX,10
01865_C02_P019517_S00_I00_N11_R1,Tissue atlas,LFD,Full proteome,MS1,hSAX,11
01865_D02_P019517_S00_I00_N12_R1,Tissue atlas,LFD,Full proteome,MS1,hSAX,12
01865_E02_P019517_S00_I00_N13_R1,Tissue atlas,LFD,Full proteome,MS1,hSAX,13
01865_F02_P019517_S00_I00_N14_R1,Tissue atlas,LFD,Full proteome,MS1,hSAX,14
01865_G02_P019517_S00_I00_N15_R1,Tissue atlas,LFD,Full proteome,MS1,hSAX,15
01865_H02_P019517_S00_I00_N16_R1,Tissue atlas,LFD,Full proteome,MS1,hSAX,16
01865_A03_P019517_S00_I00_N17_R1,Tissue atlas,LFD,Full proteome,MS1,hSAX,17
01865_B03_P019517_S00_I00_N18_R1,Tissue atlas,LFD,Full proteome,MS1,hSAX,18
01865_C03_P019517_S00_I00_N19_R1,Tissue atlas,LFD,Full proteome,MS1,hSAX,19
01865_D03_P019517_S00_I00_N20_R1,Tissue atlas,LFD,Full proteome,MS1,hSAX,20
01865_E03_P019517_S00_I00_N21_R1,Tissue atlas,LFD,Full proteome,MS1,hSAX,21
01865_F03_P019517_S00_I00_N22_R1,Tissue atlas,LFD,Full proteome,MS1,hSAX,22
01865_G03_P019517_S00_I00_N23_R1,Tissue atlas,LFD,Full proteome,MS1,hSAX,23
01865_H03_P019517_S00_I00_N24_R1,Tissue atlas,LFD,Full proteome,MS1,hSAX,24
01865_A05_P019518_S00_I00_N01_R1,Tissue atlas,LFP,Full proteome,MS1,hSAX,1
01865_B05_P019518_S00_I00_N02_R1,Tissue atlas,LFP,Full proteome,MS1,hSAX,2
01865_C05_P019518_S00_I00_N03_R1,Tissue atlas,LFP,Full proteome,MS1,hSAX,3
01865_D05_P019518_S00_I00_N04_R1,Tissue atlas,LFP,Full proteome,MS1,hSAX,4
01865_E05_P019518_S00_I00_N05_R1,Tissue atlas,LFP,Full proteome,MS1,hSAX,5
01865_F05_P019518_S00_I00_N06_R1,Tissue atlas,LFP,Full proteome,MS1,hSAX,6
01865_G05_P019518_S00_I00_N07_R1,Tissue atlas,LFP,Full proteome,MS1,hSAX,7
01865_H05_P019518_S00_I00_N08_R1,Tissue atlas,LFP,Full proteome,MS1,hSAX,8
01865_A06_P019518_S00_I00_N09_R1,Tissue atlas,LFP,Full proteome,MS1,hSAX,9
01865_B06_P019518_S00_I00_N10_R1,Tissue atlas,LFP,Full proteome,MS1,hSAX,10
01865_C06_P019518_S00_I00_N11_R1,Tissue atlas,LFP,Full proteome,MS1,hSAX,11
01865_D06_P019518_S00_I00_N12_R1,Tissue atlas,LFP,Full proteome,MS1,hSAX,12
01865_E06_P019518_S00_I00_N13_R1,Tissue atlas,LFP,Full proteome,MS1,hSAX,13
01865_F06_P019518_S00_I00_N14_R1,Tissue atlas,LFP,Full proteome,MS1,hSAX,14
01865_G06_P019518_S00_I00_N15_R1,Tissue atlas,LFP,Full proteome,MS1,hSAX,15
01865_H06_P019518_S00_I00_N16_R1,Tissue atlas,LFP,Full proteome,MS1,hSAX,16
01865_A07_P019518_S00_I00_N17_R1,Tissue atlas,LFP,Full proteome,MS1,hSAX,17
01865_B07_P019518_S00_I00_N18_R1,Tissue atlas,LFP,Full proteome,MS1,hSAX,18
01865_C07_P019518_S00_I00_N19_R1,Tissue atlas,LFP,Full proteome,MS1,hSAX,19
01865_D07_P019518_S00_I00_N20_R1,Tissue atlas,LFP,Full proteome,MS1,hSAX,20
01865_E07_P019518_S00_I00_N21_R1,Tissue atlas,LFP,Full proteome,MS1,hSAX,21
01865_F07_P019518_S00_I00_N22_R1,Tissue atlas,LFP,Full proteome,MS1,hSAX,22
01865_G07_P019518_S00_I00_N23_R1,Tissue atlas,LFP,Full proteome,MS1,hSAX,23
01865_H07_P019518_S00_I00_N24_R1,Tissue atlas,LFP,Full proteome,MS1,hSAX,24
01865_A10_P019519_S00_I00_N01_R1,Tissue atlas,LFPT,Full proteome,MS1,hSAX,1
01865_B10_P019519_S00_I00_N02_R1,Tissue atlas,LFPT,Full proteome,MS1,hSAX,2
01865_C10_P019519_S00_I00_N03_R1,Tissue atlas,LFPT,Full proteome,MS1,hSAX,3
01865_D10_P019519_S00_I00_N04_R1,Tissue atlas,LFPT,Full proteome,MS1,hSAX,4
01865_E10_P019519_S00_I00_N05_R1,Tissue atlas,LFPT,Full proteome,MS1,hSAX,5
01865_F10_P019519_S00_I00_N06_R1,Tissue atlas,LFPT,Full proteome,MS1,hSAX,6
01865_G10_P019519_S00_I00_N07_R1,Tissue atlas,LFPT,Full proteome,MS1,hSAX,7
01865_H10_P019519_S00_I00_N08_R1,Tissue atlas,LFPT,Full proteome,MS1,hSAX,8
01865_A11_P019519_S00_I00_N09_R1,Tissue atlas,LFPT,Full proteome,MS1,hSAX,9
01865_B11_P019519_S00_I00_N10_R1,Tissue atlas,LFPT,Full proteome,MS1,hSAX,10
01865_C11_P019519_S00_I00_N11_R1,Tissue atlas,LFPT,Full proteome,MS1,hSAX,11
01865_D11_P019519_S00_I00_N12_R1,Tissue atlas,LFPT,Full proteome,MS1,hSAX,12
01865_E11_P019519_S00_I00_N13_R1,Tissue atlas,LFPT,Full proteome,MS1,hSAX,13
01865_F11_P019519_S00_I00_N14_R1,Tissue atlas,LFPT,Full proteome,MS1,hSAX,14
01865_G11_P019519_S00_I00_N15_R1,Tissue atlas,LFPT,Full proteome,MS1,hSAX,15
01865_H11_P019519_S00_I00_N16_R1,Tissue atlas,LFPT,Full proteome,MS1,hSAX,16
01865_A12_P019519_S00_I00_N17_R1,Tissue atlas,LFPT,Full proteome,MS1,hSAX,17
01865_B12_P019519_S00_I00_N18_R1,Tissue atlas,LFPT,Full proteome,MS1,hSAX,18
01865_C12_P019519_S00_I00_N19_R1,Tissue atlas,LFPT,Full proteome,MS1,hSAX,19
01865_D12_P019519_S00_I00_N20_R1,Tissue atlas,LFPT,Full proteome,MS1,hSAX,20
01865_E12_P019519_S00_I00_N21_R1,Tissue atlas,LFPT,Full proteome,MS1,hSAX,21
01865_F12_P019519_S00_I00_N22_R1,Tissue atlas,LFPT,Full proteome,MS1,hSAX,22
01865_G12_P019519_S00_I00_N23_R1,Tissue atlas,LFPT,Full proteome,MS1,hSAX,23
01865_H12_P019519_S00_I00_N24_R1,Tissue atlas,LFPT,Full proteome,MS1,hSAX,24
01873_A01_P019564_S00_I00_N1_R1,Tissue atlas,SQ,Full proteome,MS1,hSAX,1
01873_B01_P019564_S00_I00_N2_R1,Tissue atlas,SQ,Full proteome,MS1,hSAX,2
01873_C01_P019564_S00_I00_N3_R1,Tissue atlas,SQ,Full proteome,MS1,hSAX,3
01873_D01_P019564_S00_I00_N4_R1,Tissue atlas,SQ,Full proteome,MS1,hSAX,4
01873_E01_P019564_S00_I00_N5_R1,Tissue atlas,SQ,Full proteome,MS1,hSAX,5
01873_F01_P019564_S00_I00_N6_R1,Tissue atlas,SQ,Full proteome,MS1,hSAX,6
01873_G01_P019564_S00_I00_N7_R1,Tissue atlas,SQ,Full proteome,MS1,hSAX,7
01873_H01_P019564_S00_I00_N8_R1,Tissue atlas,SQ,Full proteome,MS1,hSAX,8
01873_A02_P019564_S00_I00_N9_R1,Tissue atlas,SQ,Full proteome,MS1,hSAX,9
01873_B02_P019564_S00_I00_N10_R1,Tissue atlas,SQ,Full proteome,MS1,hSAX,10
01873_C02_P019564_S00_I00_N11_R1,Tissue atlas,SQ,Full proteome,MS1,hSAX,11
01873_D02_P019564_S00_I00_N12_R1,Tissue atlas,SQ,Full proteome,MS1,hSAX,12
01873_E02_P019564_S00_I00_N13_R1,Tissue atlas,SQ,Full proteome,MS1,hSAX,13
01873_F02_P019564_S00_I00_N14_R1,Tissue atlas,SQ,Full proteome,MS1,hSAX,14
01873_G02_P019564_S00_I00_N15_R1,Tissue atlas,SQ,Full proteome,MS1,hSAX,15
01873_H02_P019564_S00_I00_N16_R1,Tissue atlas,SQ,Full proteome,MS1,hSAX,16
01873_A03_P019564_S00_I00_N17_R1,Tissue atlas,SQ,Full proteome,MS1,hSAX,17
01873_B03_P019564_S00_I00_N18_R1,Tissue atlas,SQ,Full proteome,MS1,hSAX,18
01873_C03_P019564_S00_I00_N19_R1,Tissue atlas,SQ,Full proteome,MS1,hSAX,19
01873_D03_P019564_S00_I00_N20_R1,Tissue atlas,SQ,Full proteome,MS1,hSAX,20
01873_E03_P019564_S00_I00_N21_R1,Tissue atlas,SQ,Full proteome,MS1,hSAX,21
01873_F03_P019564_S00_I00_N22_R1,Tissue atlas,SQ,Full proteome,MS1,hSAX,22
01873_G03_P019564_S00_I00_N23_R1,Tissue atlas,SQ,Full proteome,MS1,hSAX,23
01873_H03_P019564_S00_I00_N24_R1,Tissue atlas,SQ,Full proteome,MS1,hSAX,24
01873_A05_P019565_S00_I00_N1_R1,Tissue atlas,IND,Full proteome,MS1,hSAX,1
01873_C05_P019565_S00_I00_N2_R1,Tissue atlas,IND,Full proteome,MS1,hSAX,2
01873_B05_P019565_S00_I00_N3_R1,Tissue atlas,IND,Full proteome,MS1,hSAX,3
01873_D05_P019565_S00_I00_N4_R1,Tissue atlas,IND,Full proteome,MS1,hSAX,4
01873_E05_P019565_S00_I00_N5_R1,Tissue atlas,IND,Full proteome,MS1,hSAX,5
01873_F05_P019565_S00_I00_N6_R1,Tissue atlas,IND,Full proteome,MS1,hSAX,6
01873_G05_P019565_S00_I00_N7_R1,Tissue atlas,IND,Full proteome,MS1,hSAX,7
01873_H05_P019565_S00_I00_N8_R1,Tissue atlas,IND,Full proteome,MS1,hSAX,8
01873_A06_P019565_S00_I00_N9_R1,Tissue atlas,IND,Full proteome,MS1,hSAX,9
01873_B06_P019565_S00_I00_N10_R1,Tissue atlas,IND,Full proteome,MS1,hSAX,10
01873_C06_P019565_S00_I00_N11_R1,Tissue atlas,IND,Full proteome,MS1,hSAX,11
01873_D06_P019565_S00_I00_N12_R1,Tissue atlas,IND,Full proteome,MS1,hSAX,12
01873_E06_P019565_S00_I00_N13_R1,Tissue atlas,IND,Full proteome,MS1,hSAX,13
01873_F06_P019565_S00_I00_N14_R1,Tissue atlas,IND,Full proteome,MS1,hSAX,14
01873_G06_P019565_S00_I00_N15_R1,Tissue atlas,IND,Full proteome,MS1,hSAX,15
01873_H06_P019565_S00_I00_N16_R1,Tissue atlas,IND,Full proteome,MS1,hSAX,16
01873_A07_P019565_S00_I00_N17_R1,Tissue atlas,IND,Full proteome,MS1,hSAX,17
01873_B07_P019565_S00_I00_N18_R1,Tissue atlas,IND,Full proteome,MS1,hSAX,18
01873_C07_P019565_S00_I00_N19_R1,Tissue atlas,IND,Full proteome,MS1,hSAX,19
01873_D07_P019565_S00_I00_N20_R1,Tissue atlas,IND,Full proteome,MS1,hSAX,20
01873_E07_P019565_S00_I00_N21_R1,Tissue atlas,IND,Full proteome,MS1,hSAX,21
01873_F07_P019565_S00_I00_N22_R1,Tissue atlas,IND,Full proteome,MS1,hSAX,22
01873_G07_P019565_S00_I00_N23_R1,Tissue atlas,IND,Full proteome,MS1,hSAX,23
01873_H07_P019565_S00_I00_N24_R1,Tissue atlas,IND,Full proteome,MS1,hSAX,24
01873_A09_P019566_S00_I00_N01_R1,Tissue atlas,CTSAM,Full proteome,MS1,hSAX,1
01873_B09_P019566_S00_I00_N02_R1,Tissue atlas,CTSAM,Full proteome,MS1,hSAX,2
01873_C09_P019566_S00_I00_N03_R1,Tissue atlas,CTSAM,Full proteome,MS1,hSAX,3
01873_D09_P019566_S00_I00_N04_R1,Tissue atlas,CTSAM,Full proteome,MS1,hSAX,4
01873_E09_P019566_S00_I00_N05_R1,Tissue atlas,CTSAM,Full proteome,MS1,hSAX,5
01873_F09_P019566_S00_I00_N06_R1,Tissue atlas,CTSAM,Full proteome,MS1,hSAX,6
01873_G09_P019566_S00_I00_N07_R1,Tissue atlas,CTSAM,Full proteome,MS1,hSAX,7
01873_H09_P019566_S00_I00_N08_R1,Tissue atlas,CTSAM,Full proteome,MS1,hSAX,8
