"Author","Year","Accession","Replicate","Quantitation","Species","File"
"Alahmad",2020,"PXD014936","M0373","","Homo sapiens","P19_031_NDUFC2_Taylor_M0373_patient_44.raw"
"Alahmad",2020,"PXD014936","M0373","","Homo sapiens","P19_031_NDUFC2_Taylor_M0373_patient_45.raw"
"Alahmad",2020,"PXD014936","M0373","","Homo sapiens","P19_031_NDUFC2_Taylor_M0373_patient_46.raw"
"Alahmad",2020,"PXD014936","M0373","","Homo sapiens","P19_031_NDUFC2_Taylor_M0373_patient_47.raw"
"Alahmad",2020,"PXD014936","M0373","","Homo sapiens","P19_031_NDUFC2_Taylor_M0373_patient_48.raw"
"Alahmad",2020,"PXD014936","Ctrl","","Homo sapiens","P19_031_NDUFC2_Taylor_M1123_Ctrl_01.raw"
"Alahmad",2020,"PXD014936","Ctrl","","Homo sapiens","P19_031_NDUFC2_Taylor_M1123_Ctrl_02.raw"
"Alahmad",2020,"PXD014936","Ctrl","","Homo sapiens","P19_031_NDUFC2_Taylor_M1123_Ctrl_03.raw"
"Alahmad",2020,"PXD014936","Ctrl","","Homo sapiens","P19_031_NDUFC2_Taylor_M1123_Ctrl_04.raw"
"Alahmad",2020,"PXD014936","Ctrl","","Homo sapiens","P19_031_NDUFC2_Taylor_M1123_Ctrl_05.raw"
"Alahmad",2020,"PXD014936","Ctrl","","Homo sapiens","P19_031_NDUFC2_Taylor_M1123_Ctrl_06.raw"
"Alahmad",2020,"PXD014936","Ctrl","","Homo sapiens","P19_031_NDUFC2_Taylor_M1123_Ctrl_07.raw"
"Alahmad",2020,"PXD014936","Ctrl","","Homo sapiens","P19_031_NDUFC2_Taylor_M1123_Ctrl_08.raw"
"Alahmad",2020,"PXD014936","Ctrl","","Homo sapiens","P19_031_NDUFC2_Taylor_M1123_Ctrl_09.raw"
"Alahmad",2020,"PXD014936","Ctrl","","Homo sapiens","P19_031_NDUFC2_Taylor_M1123_Ctrl_10.raw"
"Alahmad",2020,"PXD014936","Ctrl","","Homo sapiens","P19_031_NDUFC2_Taylor_M1123_Ctrl_11.raw"
"Alahmad",2020,"PXD014936","Ctrl","","Homo sapiens","P19_031_NDUFC2_Taylor_M1123_Ctrl_12.raw"
"Alahmad",2020,"PXD014936","Ctrl","","Homo sapiens","P19_031_NDUFC2_Taylor_M1123_Ctrl_13.raw"
"Alahmad",2020,"PXD014936","Ctrl","","Homo sapiens","P19_031_NDUFC2_Taylor_M1123_Ctrl_14.raw"
"Alahmad",2020,"PXD014936","Ctrl","","Homo sapiens","P19_031_NDUFC2_Taylor_M1123_Ctrl_15.raw"
"Alahmad",2020,"PXD014936","Ctrl","","Homo sapiens","P19_031_NDUFC2_Taylor_M1123_Ctrl_16.raw"
"Alahmad",2020,"PXD014936","Ctrl","","Homo sapiens","P19_031_NDUFC2_Taylor_M1123_Ctrl_17.raw"
"Alahmad",2020,"PXD014936","Ctrl","","Homo sapiens","P19_031_NDUFC2_Taylor_M1123_Ctrl_18.raw"
"Alahmad",2020,"PXD014936","Ctrl","","Homo sapiens","P19_031_NDUFC2_Taylor_M1123_Ctrl_19.raw"
"Alahmad",2020,"PXD014936","Ctrl","","Homo sapiens","P19_031_NDUFC2_Taylor_M1123_Ctrl_20.raw"
"Alahmad",2020,"PXD014936","Ctrl","","Homo sapiens","P19_031_NDUFC2_Taylor_M1123_Ctrl_21.raw"
"Alahmad",2020,"PXD014936","Ctrl","","Homo sapiens","P19_031_NDUFC2_Taylor_M1123_Ctrl_22.raw"
"Alahmad",2020,"PXD014936","Ctrl","","Homo sapiens","P19_031_NDUFC2_Taylor_M1123_Ctrl_23.raw"
"Alahmad",2020,"PXD014936","Ctrl","","Homo sapiens","P19_031_NDUFC2_Taylor_M1123_Ctrl_24.raw"
"Alahmad",2020,"PXD014936","Ctrl","","Homo sapiens","P19_031_NDUFC2_Taylor_M1123_Ctrl_25.raw"
"Alahmad",2020,"PXD014936","Ctrl","","Homo sapiens","P19_031_NDUFC2_Taylor_M1123_Ctrl_26.raw"
"Alahmad",2020,"PXD014936","Ctrl","","Homo sapiens","P19_031_NDUFC2_Taylor_M1123_Ctrl_27.raw"
"Alahmad",2020,"PXD014936","Ctrl","","Homo sapiens","P19_031_NDUFC2_Taylor_M1123_Ctrl_28.raw"
"Alahmad",2020,"PXD014936","Ctrl","","Homo sapiens","P19_031_NDUFC2_Taylor_M1123_Ctrl_29.raw"
"Alahmad",2020,"PXD014936","Ctrl","","Homo sapiens","P19_031_NDUFC2_Taylor_M1123_Ctrl_30.raw"
"Alahmad",2020,"PXD014936","Ctrl","","Homo sapiens","P19_031_NDUFC2_Taylor_M1123_Ctrl_31.raw"
"Alahmad",2020,"PXD014936","Ctrl","","Homo sapiens","P19_031_NDUFC2_Taylor_M1123_Ctrl_32.raw"
"Alahmad",2020,"PXD014936","Ctrl","","Homo sapiens","P19_031_NDUFC2_Taylor_M1123_Ctrl_33.raw"
"Alahmad",2020,"PXD014936","Ctrl","","Homo sapiens","P19_031_NDUFC2_Taylor_M1123_Ctrl_34.raw"
"Alahmad",2020,"PXD014936","Ctrl","","Homo sapiens","P19_031_NDUFC2_Taylor_M1123_Ctrl_35.raw"
"Alahmad",2020,"PXD014936","Ctrl","","Homo sapiens","P19_031_NDUFC2_Taylor_M1123_Ctrl_36.raw"
"Alahmad",2020,"PXD014936","Ctrl","","Homo sapiens","P19_031_NDUFC2_Taylor_M1123_Ctrl_37.raw"
"Alahmad",2020,"PXD014936","Ctrl","","Homo sapiens","P19_031_NDUFC2_Taylor_M1123_Ctrl_38.raw"
"Alahmad",2020,"PXD014936","Ctrl","","Homo sapiens","P19_031_NDUFC2_Taylor_M1123_Ctrl_39.raw"
"Alahmad",2020,"PXD014936","Ctrl","","Homo sapiens","P19_031_NDUFC2_Taylor_M1123_Ctrl_40.raw"
"Alahmad",2020,"PXD014936","Ctrl","","Homo sapiens","P19_031_NDUFC2_Taylor_M1123_Ctrl_41.raw"
"Alahmad",2020,"PXD014936","Ctrl","","Homo sapiens","P19_031_NDUFC2_Taylor_M1123_Ctrl_42.raw"
"Alahmad",2020,"PXD014936","Ctrl","","Homo sapiens","P19_031_NDUFC2_Taylor_M1123_Ctrl_43.raw"
"Alahmad",2020,"PXD014936","Ctrl","","Homo sapiens","P19_031_NDUFC2_Taylor_M1123_Ctrl_44.raw"
"Alahmad",2020,"PXD014936","Ctrl","","Homo sapiens","P19_031_NDUFC2_Taylor_M1123_Ctrl_45.raw"
"Alahmad",2020,"PXD014936","Ctrl","","Homo sapiens","P19_031_NDUFC2_Taylor_M1123_Ctrl_46.raw"
"Alahmad",2020,"PXD014936","Ctrl","","Homo sapiens","P19_031_NDUFC2_Taylor_M1123_Ctrl_47.raw"
"Alahmad",2020,"PXD014936","Ctrl","","Homo sapiens","P19_031_NDUFC2_Taylor_M1123_Ctrl_48.raw"
"Alahmad",2020,"PXD014936","M24863","","Homo sapiens","P19_031_NDUFC2_Taylor_M2486_patient_01.raw"
"Alahmad",2020,"PXD014936","M24863","","Homo sapiens","P19_031_NDUFC2_Taylor_M2486_patient_02.raw"
"Alahmad",2020,"PXD014936","M24863","","Homo sapiens","P19_031_NDUFC2_Taylor_M2486_patient_03.raw"
"Alahmad",2020,"PXD014936","M24863","","Homo sapiens","P19_031_NDUFC2_Taylor_M2486_patient_04.raw"
"Alahmad",2020,"PXD014936","M24863","","Homo sapiens","P19_031_NDUFC2_Taylor_M2486_patient_05.raw"
"Alahmad",2020,"PXD014936","M24863","","Homo sapiens","P19_031_NDUFC2_Taylor_M2486_patient_06.raw"
"Alahmad",2020,"PXD014936","M24863","","Homo sapiens","P19_031_NDUFC2_Taylor_M2486_patient_07.raw"
"Alahmad",2020,"PXD014936","M24863","","Homo sapiens","P19_031_NDUFC2_Taylor_M2486_patient_08.raw"
"Alahmad",2020,"PXD014936","M24863","","Homo sapiens","P19_031_NDUFC2_Taylor_M2486_patient_09.raw"
"Alahmad",2020,"PXD014936","M24863","","Homo sapiens","P19_031_NDUFC2_Taylor_M2486_patient_10.raw"
"Alahmad",2020,"PXD014936","M24863","","Homo sapiens","P19_031_NDUFC2_Taylor_M2486_patient_11.raw"
"Alahmad",2020,"PXD014936","M24863","","Homo sapiens","P19_031_NDUFC2_Taylor_M2486_patient_12.raw"
"Alahmad",2020,"PXD014936","M24863","","Homo sapiens","P19_031_NDUFC2_Taylor_M2486_patient_13.raw"
"Alahmad",2020,"PXD014936","M24863","","Homo sapiens","P19_031_NDUFC2_Taylor_M2486_patient_14.raw"
"Alahmad",2020,"PXD014936","M24863","","Homo sapiens","P19_031_NDUFC2_Taylor_M2486_patient_15.raw"
"Alahmad",2020,"PXD014936","M24863","","Homo sapiens","P19_031_NDUFC2_Taylor_M2486_patient_16.raw"
"Alahmad",2020,"PXD014936","M24863","","Homo sapiens","P19_031_NDUFC2_Taylor_M2486_patient_17.raw"
"Alahmad",2020,"PXD014936","M24863","","Homo sapiens","P19_031_NDUFC2_Taylor_M2486_patient_18.raw"
"Alahmad",2020,"PXD014936","M24863","","Homo sapiens","P19_031_NDUFC2_Taylor_M2486_patient_19.raw"
"Alahmad",2020,"PXD014936","M24863","","Homo sapiens","P19_031_NDUFC2_Taylor_M2486_patient_20.raw"
"Alahmad",2020,"PXD014936","M24863","","Homo sapiens","P19_031_NDUFC2_Taylor_M2486_patient_21.raw"
"Alahmad",2020,"PXD014936","M24863","","Homo sapiens","P19_031_NDUFC2_Taylor_M2486_patient_22.raw"
"Alahmad",2020,"PXD014936","M24863","","Homo sapiens","P19_031_NDUFC2_Taylor_M2486_patient_23.raw"
"Alahmad",2020,"PXD014936","M24863","","Homo sapiens","P19_031_NDUFC2_Taylor_M2486_patient_24.raw"
"Alahmad",2020,"PXD014936","M24863","","Homo sapiens","P19_031_NDUFC2_Taylor_M2486_patient_25.raw"
"Alahmad",2020,"PXD014936","M24863","","Homo sapiens","P19_031_NDUFC2_Taylor_M2486_patient_26.raw"
"Alahmad",2020,"PXD014936","M24863","","Homo sapiens","P19_031_NDUFC2_Taylor_M2486_patient_27.raw"
"Alahmad",2020,"PXD014936","M24863","","Homo sapiens","P19_031_NDUFC2_Taylor_M2486_patient_28.raw"
"Alahmad",2020,"PXD014936","M24863","","Homo sapiens","P19_031_NDUFC2_Taylor_M2486_patient_29.raw"
"Alahmad",2020,"PXD014936","M24863","","Homo sapiens","P19_031_NDUFC2_Taylor_M2486_patient_30.raw"
"Alahmad",2020,"PXD014936","M24863","","Homo sapiens","P19_031_NDUFC2_Taylor_M2486_patient_31.raw"
"Alahmad",2020,"PXD014936","M24863","","Homo sapiens","P19_031_NDUFC2_Taylor_M2486_patient_32.raw"
"Alahmad",2020,"PXD014936","M24863","","Homo sapiens","P19_031_NDUFC2_Taylor_M2486_patient_33.raw"
"Alahmad",2020,"PXD014936","M24863","","Homo sapiens","P19_031_NDUFC2_Taylor_M2486_patient_34.raw"
"Alahmad",2020,"PXD014936","M24863","","Homo sapiens","P19_031_NDUFC2_Taylor_M2486_patient_35.raw"
"Alahmad",2020,"PXD014936","M24863","","Homo sapiens","P19_031_NDUFC2_Taylor_M2486_patient_36.raw"
"Alahmad",2020,"PXD014936","M24863","","Homo sapiens","P19_031_NDUFC2_Taylor_M2486_patient_37.raw"
"Alahmad",2020,"PXD014936","M24863","","Homo sapiens","P19_031_NDUFC2_Taylor_M2486_patient_38.raw"
"Alahmad",2020,"PXD014936","M24863","","Homo sapiens","P19_031_NDUFC2_Taylor_M2486_patient_39.raw"
"Alahmad",2020,"PXD014936","M24863","","Homo sapiens","P19_031_NDUFC2_Taylor_M2486_patient_40.raw"
"Alahmad",2020,"PXD014936","M24863","","Homo sapiens","P19_031_NDUFC2_Taylor_M2486_patient_41.raw"
"Alahmad",2020,"PXD014936","M24863","","Homo sapiens","P19_031_NDUFC2_Taylor_M2486_patient_42.raw"
"Alahmad",2020,"PXD014936","M24863","","Homo sapiens","P19_031_NDUFC2_Taylor_M2486_patient_43.raw"
"Alahmad",2020,"PXD014936","M24863","","Homo sapiens","P19_031_NDUFC2_Taylor_M2486_patient_44.raw"
"Alahmad",2020,"PXD014936","M24863","","Homo sapiens","P19_031_NDUFC2_Taylor_M2486_patient_45.raw"
"Alahmad",2020,"PXD014936","M24863","","Homo sapiens","P19_031_NDUFC2_Taylor_M2486_patient_46.raw"
"Alahmad",2020,"PXD014936","M24863","","Homo sapiens","P19_031_NDUFC2_Taylor_M2486_patient_47.raw"
"Alahmad",2020,"PXD014936","M24863","","Homo sapiens","P19_031_NDUFC2_Taylor_M2486_patient_48.raw"
"Alston",2020,"PXD015749","Ctrl","","Homo sapiens","P17_081_Taylor_NDUFAF8_Ctrl_Digitonin_01.raw"
"Alston",2020,"PXD015749","Ctrl","","Homo sapiens","P17_081_Taylor_NDUFAF8_Ctrl_Digitonin_02_170815072710.raw"
"Alston",2020,"PXD015749","Ctrl","","Homo sapiens","P17_081_Taylor_NDUFAF8_Ctrl_Digitonin_03_170815082424.raw"
"Alston",2020,"PXD015749","Ctrl","","Homo sapiens","P17_081_Taylor_NDUFAF8_Ctrl_Digitonin_04.raw"
"Alston",2020,"PXD015749","Ctrl","","Homo sapiens","P17_081_Taylor_NDUFAF8_Ctrl_Digitonin_05.raw"
"Alston",2020,"PXD015749","Ctrl","","Homo sapiens","P17_081_Taylor_NDUFAF8_Ctrl_Digitonin_06.raw"
"Alston",2020,"PXD015749","Ctrl","","Homo sapiens","P17_081_Taylor_NDUFAF8_Ctrl_Digitonin_07.raw"
"Alston",2020,"PXD015749","Ctrl","","Homo sapiens","P17_081_Taylor_NDUFAF8_Ctrl_Digitonin_08.raw"
"Alston",2020,"PXD015749","Ctrl","","Homo sapiens","P17_081_Taylor_NDUFAF8_Ctrl_Digitonin_09.raw"
"Alston",2020,"PXD015749","Ctrl","","Homo sapiens","P17_081_Taylor_NDUFAF8_Ctrl_Digitonin_10.raw"
"Alston",2020,"PXD015749","Ctrl","","Homo sapiens","P17_081_Taylor_NDUFAF8_Ctrl_Digitonin_11.raw"
"Alston",2020,"PXD015749","Ctrl","","Homo sapiens","P17_081_Taylor_NDUFAF8_Ctrl_Digitonin_12.raw"
"Alston",2020,"PXD015749","Ctrl","","Homo sapiens","P17_081_Taylor_NDUFAF8_Ctrl_Digitonin_13.raw"
"Alston",2020,"PXD015749","Ctrl","","Homo sapiens","P17_081_Taylor_NDUFAF8_Ctrl_Digitonin_14.raw"
"Alston",2020,"PXD015749","Ctrl","","Homo sapiens","P17_081_Taylor_NDUFAF8_Ctrl_Digitonin_15.raw"
"Alston",2020,"PXD015749","Ctrl","","Homo sapiens","P17_081_Taylor_NDUFAF8_Ctrl_Digitonin_16.raw"
"Alston",2020,"PXD015749","Ctrl","","Homo sapiens","P17_081_Taylor_NDUFAF8_Ctrl_Digitonin_17.raw"
"Alston",2020,"PXD015749","Ctrl","","Homo sapiens","P17_081_Taylor_NDUFAF8_Ctrl_Digitonin_18.raw"
"Alston",2020,"PXD015749","Ctrl","","Homo sapiens","P17_081_Taylor_NDUFAF8_Ctrl_Digitonin_19.raw"
"Alston",2020,"PXD015749","Ctrl","","Homo sapiens","P17_081_Taylor_NDUFAF8_Ctrl_Digitonin_20.raw"
"Alston",2020,"PXD015749","Ctrl","","Homo sapiens","P17_081_Taylor_NDUFAF8_Ctrl_Digitonin_21.raw"
"Alston",2020,"PXD015749","Ctrl","","Homo sapiens","P17_081_Taylor_NDUFAF8_Ctrl_Digitonin_22.raw"
"Alston",2020,"PXD015749","Ctrl","","Homo sapiens","P17_081_Taylor_NDUFAF8_Ctrl_Digitonin_23.raw"
"Alston",2020,"PXD015749","Ctrl","","Homo sapiens","P17_081_Taylor_NDUFAF8_Ctrl_Digitonin_24.raw"
"Alston",2020,"PXD015749","Ctrl","","Homo sapiens","P17_081_Taylor_NDUFAF8_Ctrl_Digitonin_25.raw"
"Alston",2020,"PXD015749","Ctrl","","Homo sapiens","P17_081_Taylor_NDUFAF8_Ctrl_Digitonin_26.raw"
"Alston",2020,"PXD015749","Ctrl","","Homo sapiens","P17_081_Taylor_NDUFAF8_Ctrl_Digitonin_27.raw"
"Alston",2020,"PXD015749","Ctrl","","Homo sapiens","P17_081_Taylor_NDUFAF8_Ctrl_Digitonin_28.raw"
"Alston",2020,"PXD015749","Ctrl","","Homo sapiens","P17_081_Taylor_NDUFAF8_Ctrl_Digitonin_29.raw"
"Alston",2020,"PXD015749","Ctrl","","Homo sapiens","P17_081_Taylor_NDUFAF8_Ctrl_Digitonin_30.raw"
"Alston",2020,"PXD015749","Ctrl","","Homo sapiens","P17_081_Taylor_NDUFAF8_Ctrl_Digitonin_31.raw"
"Alston",2020,"PXD015749","Ctrl","","Homo sapiens","P17_081_Taylor_NDUFAF8_Ctrl_Digitonin_32.raw"
"Alston",2020,"PXD015749","Ctrl","","Homo sapiens","P17_081_Taylor_NDUFAF8_Ctrl_Digitonin_33.raw"
"Alston",2020,"PXD015749","Ctrl","","Homo sapiens","P17_081_Taylor_NDUFAF8_Ctrl_Digitonin_34.raw"
"Alston",2020,"PXD015749","Ctrl","","Homo sapiens","P17_081_Taylor_NDUFAF8_Ctrl_Digitonin_35.raw"
"Alston",2020,"PXD015749","Ctrl","","Homo sapiens","P17_081_Taylor_NDUFAF8_Ctrl_Digitonin_36.raw"
"Alston",2020,"PXD015749","Ctrl","","Homo sapiens","P17_081_Taylor_NDUFAF8_Ctrl_Digitonin_37.raw"
"Alston",2020,"PXD015749","Ctrl","","Homo sapiens","P17_081_Taylor_NDUFAF8_Ctrl_Digitonin_38.raw"
"Alston",2020,"PXD015749","Ctrl","","Homo sapiens","P17_081_Taylor_NDUFAF8_Ctrl_Digitonin_39.raw"
"Alston",2020,"PXD015749","Ctrl","","Homo sapiens","P17_081_Taylor_NDUFAF8_Ctrl_Digitonin_40.raw"
"Alston",2020,"PXD015749","Ctrl","","Homo sapiens","P17_081_Taylor_NDUFAF8_Ctrl_Digitonin_41.raw"
"Alston",2020,"PXD015749","Ctrl","","Homo sapiens","P17_081_Taylor_NDUFAF8_Ctrl_Digitonin_42.raw"
"Alston",2020,"PXD015749","Ctrl","","Homo sapiens","P17_081_Taylor_NDUFAF8_Ctrl_Digitonin_43.raw"
"Alston",2020,"PXD015749","Ctrl","","Homo sapiens","P17_081_Taylor_NDUFAF8_Ctrl_Digitonin_44.raw"
"Alston",2020,"PXD015749","Ctrl","","Homo sapiens","P17_081_Taylor_NDUFAF8_Ctrl_Digitonin_45.raw"
"Alston",2020,"PXD015749","Ctrl","","Homo sapiens","P17_081_Taylor_NDUFAF8_Ctrl_Digitonin_46.raw"
"Alston",2020,"PXD015749","Ctrl","","Homo sapiens","P17_081_Taylor_NDUFAF8_Ctrl_Digitonin_47.raw"
"Alston",2020,"PXD015749","Ctrl","","Homo sapiens","P17_081_Taylor_NDUFAF8_Ctrl_Digitonin_48.raw"
"Alston",2020,"PXD015749","Ctrl","","Homo sapiens","P17_081_Taylor_NDUFAF8_Ctrl_Digitonin_49.raw"
"Alston",2020,"PXD015749","Ctrl","","Homo sapiens","P17_081_Taylor_NDUFAF8_Ctrl_Digitonin_50.raw"
"Alston",2020,"PXD015749","Ctrl","","Homo sapiens","P17_081_Taylor_NDUFAF8_Ctrl_Digitonin_51.raw"
"Alston",2020,"PXD015749","Ctrl","","Homo sapiens","P17_081_Taylor_NDUFAF8_Ctrl_Digitonin_52.raw"
"Alston",2020,"PXD015749","Ctrl","","Homo sapiens","P17_081_Taylor_NDUFAF8_Ctrl_Digitonin_53.raw"
"Alston",2020,"PXD015749","Ctrl","","Homo sapiens","P17_081_Taylor_NDUFAF8_Ctrl_Digitonin_54.raw"
"Alston",2020,"PXD015749","Ctrl","","Homo sapiens","P17_081_Taylor_NDUFAF8_Ctrl_Digitonin_55.raw"
"Alston",2020,"PXD015749","Ctrl","","Homo sapiens","P17_081_Taylor_NDUFAF8_Ctrl_Digitonin_56.raw"
"Alston",2020,"PXD015749","Ctrl","","Homo sapiens","P17_081_Taylor_NDUFAF8_Ctrl_Digitonin_57.raw"
"Alston",2020,"PXD015749","Ctrl","","Homo sapiens","P17_081_Taylor_NDUFAF8_Ctrl_Digitonin_58.raw"
"Alston",2020,"PXD015749","Ctrl","","Homo sapiens","P17_081_Taylor_NDUFAF8_Ctrl_Digitonin_59.raw"
"Alston",2020,"PXD015749","Ctrl","","Homo sapiens","P17_081_Taylor_NDUFAF8_Ctrl_Digitonin_60.raw"
"Alston",2020,"PXD015749","Patient","","Homo sapiens","P17_081_Taylor_NDUFAF8_Patient_Digitonin_01.raw"
"Alston",2020,"PXD015749","Patient","","Homo sapiens","P17_081_Taylor_NDUFAF8_Patient_Digitonin_02.raw"
"Alston",2020,"PXD015749","Patient","","Homo sapiens","P17_081_Taylor_NDUFAF8_Patient_Digitonin_03.raw"
"Alston",2020,"PXD015749","Patient","","Homo sapiens","P17_081_Taylor_NDUFAF8_Patient_Digitonin_04.raw"
"Alston",2020,"PXD015749","Patient","","Homo sapiens","P17_081_Taylor_NDUFAF8_Patient_Digitonin_05.raw"
"Alston",2020,"PXD015749","Patient","","Homo sapiens","P17_081_Taylor_NDUFAF8_Patient_Digitonin_06.raw"
"Alston",2020,"PXD015749","Patient","","Homo sapiens","P17_081_Taylor_NDUFAF8_Patient_Digitonin_07.raw"
"Alston",2020,"PXD015749","Patient","","Homo sapiens","P17_081_Taylor_NDUFAF8_Patient_Digitonin_08.raw"
"Alston",2020,"PXD015749","Patient","","Homo sapiens","P17_081_Taylor_NDUFAF8_Patient_Digitonin_09.raw"
"Alston",2020,"PXD015749","Patient","","Homo sapiens","P17_081_Taylor_NDUFAF8_Patient_Digitonin_10.raw"
"Alston",2020,"PXD015749","Patient","","Homo sapiens","P17_081_Taylor_NDUFAF8_Patient_Digitonin_11.raw"
"Alston",2020,"PXD015749","Patient","","Homo sapiens","P17_081_Taylor_NDUFAF8_Patient_Digitonin_12.raw"
"Alston",2020,"PXD015749","Patient","","Homo sapiens","P17_081_Taylor_NDUFAF8_Patient_Digitonin_13.raw"
"Alston",2020,"PXD015749","Patient","","Homo sapiens","P17_081_Taylor_NDUFAF8_Patient_Digitonin_14.raw"
"Alston",2020,"PXD015749","Patient","","Homo sapiens","P17_081_Taylor_NDUFAF8_Patient_Digitonin_15.raw"
"Alston",2020,"PXD015749","Patient","","Homo sapiens","P17_081_Taylor_NDUFAF8_Patient_Digitonin_16.raw"
"Alston",2020,"PXD015749","Patient","","Homo sapiens","P17_081_Taylor_NDUFAF8_Patient_Digitonin_17.raw"
